model_name,target_name,horizon,split_name,test_start,auc,precision,recall,f1,false_positive_months,brier_score,ece,event_hit_rate,median_timing_months,average_timing_months,flagged_3m_ahead_share,flagged_6m_ahead_share,episode_recall,max_false_alarm_streak,event_hits,n_events,threshold
multivariate_logit_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.4458937198067633,0.06315789473684211,0.3,0.10434782608695653,89,0.4260853356772943,0.426250310117413,1.0,0.5,0.5,0.0,0.0,1.0,57,2,2,0.15
multivariate_logit_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.4458937198067633,0.06521739130434782,0.3,0.10714285714285714,86,0.4260853356772943,0.426250310117413,1.0,0.5,0.5,0.0,0.0,1.0,57,2,2,0.25
multivariate_logit_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.4458937198067633,0.06593406593406594,0.3,0.10810810810810811,85,0.4260853356772943,0.426250310117413,1.0,0.5,0.5,0.0,0.0,1.0,57,2,2,0.35
multivariate_logit_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.4458937198067633,0.056818181818181816,0.25,0.09259259259259259,83,0.4260853356772943,0.426250310117413,1.0,0.5,0.5,0.0,0.0,1.0,57,2,2,0.5
multivariate_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5813492063492064,0.13636363636363635,1.0,0.24000000000000002,76,0.6338005791508557,0.6810515912345161,1.0,12.0,12.0,1.0,1.0,1.0,49,1,1,0.15
multivariate_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5813492063492064,0.14457831325301204,1.0,0.25263157894736843,71,0.6338005791508557,0.6810515912345161,1.0,12.0,12.0,1.0,1.0,1.0,46,1,1,0.25
multivariate_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5813492063492064,0.14634146341463414,1.0,0.2553191489361702,70,0.6338005791508557,0.6810515912345161,1.0,12.0,12.0,1.0,1.0,1.0,43,1,1,0.35
multivariate_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5813492063492064,0.15384615384615385,1.0,0.2666666666666667,66,0.6338005791508557,0.6810515912345161,1.0,12.0,12.0,1.0,1.0,1.0,42,1,1,0.5
multivariate_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.7168458781362007,0.043478260869565216,1.0,0.08333333333333333,66,0.33820213334496385,0.4542931928537035,1.0,3.0,3.0,1.0,0.0,1.0,33,1,1,0.15
multivariate_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.7168458781362007,0.05357142857142857,1.0,0.10169491525423728,53,0.33820213334496385,0.4542931928537035,1.0,3.0,3.0,1.0,0.0,1.0,30,1,1,0.25
multivariate_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.7168458781362007,0.05660377358490566,1.0,0.10714285714285715,50,0.33820213334496385,0.4542931928537035,1.0,3.0,3.0,1.0,0.0,1.0,28,1,1,0.35
multivariate_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.7168458781362007,0.06,1.0,0.11320754716981131,47,0.33820213334496385,0.4542931928537035,1.0,3.0,3.0,1.0,0.0,1.0,24,1,1,0.5
multivariate_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.6259259259259259,0.08571428571428572,1.0,0.15789473684210528,64,0.4312697386479975,0.5102149090613818,1.0,6.0,6.0,1.0,1.0,1.0,39,1,1,0.15
multivariate_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.6259259259259259,0.09523809523809523,1.0,0.17391304347826084,57,0.4312697386479975,0.5102149090613818,1.0,6.0,6.0,1.0,1.0,1.0,36,1,1,0.25
multivariate_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.6259259259259259,0.10526315789473684,1.0,0.1904761904761905,51,0.4312697386479975,0.5102149090613818,1.0,6.0,6.0,1.0,1.0,1.0,30,1,1,0.35
multivariate_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.6259259259259259,0.10714285714285714,1.0,0.19354838709677416,50,0.4312697386479975,0.5102149090613818,1.0,6.0,6.0,1.0,1.0,1.0,30,1,1,0.5
regularized_logit_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.9468599033816425,0.4074074074074074,0.55,0.46808510638297873,16,0.06082275510054048,0.05332557305200787,1.0,4.5,4.5,0.0,0.0,1.0,9,2,2,0.15
regularized_logit_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.9468599033816425,0.47619047619047616,0.5,0.4878048780487805,11,0.06082275510054048,0.05332557305200787,1.0,5.0,5.0,0.0,0.0,1.0,6,2,2,0.25
regularized_logit_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.9468599033816425,0.5882352941176471,0.5,0.5405405405405405,7,0.06082275510054048,0.05332557305200787,1.0,5.0,5.0,0.0,0.0,1.0,5,2,2,0.35
regularized_logit_current_recession,current_recession,0,expanded_holdout,2007-01-01,0.9468599033816425,0.6,0.3,0.4,4,0.06082275510054048,0.05332557305200787,0.5,11.0,11.0,0.0,0.0,0.5,4,1,2,0.5
regularized_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5367063492063492,0.17307692307692307,0.75,0.28124999999999994,43,0.1301344409221936,0.19899193102503296,1.0,12.0,12.0,1.0,1.0,1.0,40,1,1,0.15
regularized_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5367063492063492,0.0,0.0,0.0,24,0.1301344409221936,0.19899193102503296,0.0,,,0.0,0.0,0.0,24,0,1,0.25
regularized_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5367063492063492,0.0,0.0,0.0,13,0.1301344409221936,0.19899193102503296,0.0,,,0.0,0.0,0.0,6,0,1,0.35
regularized_logit_within_12m,within_12m,12,expanded_dynamic_holdout,2017-10-01,0.5367063492063492,0.0,0.0,0.0,0,0.1301344409221936,0.19899193102503296,0.0,,,0.0,0.0,0.0,0,0,1,0.5
regularized_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.5,0.0,0.0,0.0,0,0.030275168235050155,0.0013155740382590209,0.0,,,0.0,0.0,0.0,0,0,1,0.15
regularized_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.5,0.0,0.0,0.0,0,0.030275168235050155,0.0013155740382590209,0.0,,,0.0,0.0,0.0,0,0,1,0.25
regularized_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.5,0.0,0.0,0.0,0,0.030275168235050155,0.0013155740382590209,0.0,,,0.0,0.0,0.0,0,0,1,0.35
regularized_logit_within_3m,within_3m,3,expanded_dynamic_holdout,2017-10-01,0.5,0.0,0.0,0.0,0,0.030275168235050155,0.0013155740382590209,0.0,,,0.0,0.0,0.0,0,0,1,0.5
regularized_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.5425925925925926,0.0,0.0,0.0,0,0.058826483114321405,0.008130709899527203,0.0,,,0.0,0.0,0.0,0,0,1,0.15
regularized_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.5425925925925926,0.0,0.0,0.0,0,0.058826483114321405,0.008130709899527203,0.0,,,0.0,0.0,0.0,0,0,1,0.25
regularized_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.5425925925925926,0.0,0.0,0.0,0,0.058826483114321405,0.008130709899527203,0.0,,,0.0,0.0,0.0,0,0,1,0.35
regularized_logit_within_6m,within_6m,6,expanded_dynamic_holdout,2017-10-01,0.5425925925925926,0.0,0.0,0.0,0,0.058826483114321405,0.008130709899527203,0.0,,,0.0,0.0,0.0,0,0,1,0.5
